community_id,size,mean_sentiment,sentiment_variance,polarization_morales,ECE,AOD,assortativity_sign,modularity_local
1743,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1794,3,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
1841,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
1847,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1857,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1904,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1906,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1915,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1943,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2004,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2008,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2062,9,0.0,0.0,0.0,0.0,0.0,0.0,2.3138640939534764e-05
2099,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2126,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
2148,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
2227,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2234,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2289,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2346,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2348,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2429,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2483,5,0.0,0.0,0.0,0.0,0.0,0.0,1.735408109617907e-05
2519,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2543,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
2632,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
2649,5,0.0,0.0,0.0,0.0,0.0,0.0,1.735408109617907e-05
2672,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
