community_id,size,mean_sentiment,sentiment_variance
156,97,-0.24327209611068068,0.16377931995424208
2769,15,-0.0366664191087087,0.09997076037608503
7,436,-0.292499752364916,0.29981530926519334
4215,11,-0.13193560459397055,0.11483514025931965
1678,14,-0.6026522857802254,0.17246302500609634
1331,11,-0.36742898279970343,0.2588856746278308
11414,3,-0.3220021923383077,0.05280620717599129
700,35,-0.3094250699239118,0.1376805979505614
2891,17,-0.11787204181446749,0.0730903811575035
4424,8,-0.3285350203514099,0.18066268063962365
53,49,-0.261520402772086,0.17119735995491311
8714,4,-0.6646570861339569,0.14835147786186642
11416,3,-0.2862757245699565,0.1639075809561071
321,56,-0.41855946535776767,0.19926823402199068
1868,19,-0.08070583484674755,0.07875687661279014
3,570,-0.25987124576380377,0.2214311686123164
268,61,-0.44846171775802235,0.1457267324685693
1611,20,-0.14118319544941188,0.20190788779132757
28,332,-0.3577397185411439,0.2071216983265803
36,141,-0.5027461089193821,0.15823729655619842
2836,18,-0.05222736319733991,0.01592825935316722
1189,25,-0.16267109602689744,0.08130581147284356
259,76,-0.24723416194319725,0.15695096617271895
730,37,-0.16426866662663384,0.11801610703016495
5105,9,-0.011609244677755568,0.08287838037539261
239,48,-0.4987603205954656,0.15073726179014024
180,42,-0.42017377646906034,0.20460167265494333
2899,12,-0.4172418812910716,0.11648260426136259
240,46,-0.13561640501670216,0.11159544606974936
4621,11,-0.13002636486833746,0.08697872510071242
915,24,-0.07592122008403142,0.17767703971913243
2008,20,-0.17235175967216493,0.10987340711021801
29,232,-0.3772321432539872,0.2126904845449365
3363,11,0.09405545348470862,0.13521489744890636
6313,5,0.26806953474879264,0.14490696296478367
15530,1,-0.1641450971364975,0.0
6899,5,-0.16084809303283693,0.03923649339374528
670,21,-0.09505190930905796,0.09340667270829797
11417,3,-0.012032225728034973,0.0002895489119407735
12234,2,-0.4105721712112427,0.16856950777311397
105,96,-0.30596608004998416,0.20487305732379255
1699,17,-0.08864340273772969,0.10341835500246264
15524,1,-0.24529489874839783,0.0
4072,9,-0.34266453981399536,0.15108466415660457
641,15,-0.22398847689231235,0.12123374166057867
1636,20,-0.05643728449940681,0.17954205510309418
236,34,-0.11750600991003654,0.30681390334489045
705,12,0.23473239410668612,0.12298057006475227
185,66,-0.04182976777806426,0.028695322720166627
608,28,-0.11039082759193011,0.11535157964048182
2887,14,-0.0026052615472248624,0.056935005068432874
782,30,-0.40157606105009713,0.16223609389427632
354,53,-0.06724896324130725,0.04613139052085447
47,219,-0.3173389428775741,0.1803796989024928
349,29,-0.647020562969405,0.12094350174296013
11418,3,-0.311270534992218,0.19377869190868324
15511,1,0.21813151240348816,0.0
3996,12,-0.10175433258215587,0.15790535130060498
4317,10,-0.22870523631572723,0.11515777458134054
5472,5,-0.1939648360013962,0.03669694317799482
62,57,-0.29204523765988516,0.16350617200627615
1033,28,0.05787412742418902,0.11438056238108289
45,161,-0.316464196809608,0.21255749190465192
1885,16,-0.22670556977391243,0.12661967832175477
8610,4,0.022174319252371788,0.005295655377156632
6264,7,-0.15144822427204677,0.2488371391137116
85,100,-0.407690763566643,0.1846187629658912
1764,24,-0.034491333179175854,0.021675666173156725
4184,10,-0.11849052459001541,0.08265703720268092
187,39,-0.3705545065876765,0.15493949466848767
446,36,-0.33409327061639893,0.1728493940250249
15489,1,-0.8072270750999451,0.0
154,51,-0.2877754455834043,0.24657792243840257
291,11,-0.5215034207159822,0.12191289335631311
1204,29,-0.1406265733570888,0.08801147590528326
1995,16,-0.42076436430215836,0.16509777969171804
674,20,-0.29224758595228195,0.23650989509128545
691,24,-0.217444590292871,0.1718034491672872
5924,7,-0.04812026077083179,0.011834125327762133
74,63,-0.28499586566809626,0.25121493684523016
