community_id,size,sentiment_variance,sentiment_mean,frac_positive,frac_negative,polarity_balance,bimodality,semantic_cohesion,internal_density,conductance
503,31,0.1433186831425598,-0.0393516129032258,0.25806451612903225,0.3225806451612903,0.06451612903225806,0.3341134714774485,0.31045079231262207,0.10752688172043011,0.39759036144578314
556,38,0.007637608421052632,0.0204,0.05263157894736842,0.0,0.05263157894736842,0.9806486293614102,0.33549371361732483,0.08392603129445235,0.32954545454545453
560,15,0.25780910728888895,0.013693333333333335,0.3333333333333333,0.26666666666666666,0.06666666666666665,0.4873564757076541,0.32710325717926025,0.19047619047619047,0.1111111111111111
561,26,0.09369333633136094,0.004846153846153833,0.2692307692307692,0.2692307692307692,0.0,0.3492203443606068,0.3355441689491272,0.11384615384615385,0.28846153846153844
628,16,0.19602303000000004,0.1089,0.4375,0.1875,0.25,0.45948156170764265,0.314239501953125,0.20833333333333334,0.10714285714285714
666,28,0.21025115418367343,-0.11322857142857144,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.33285182867149615,0.31208860874176025,0.10582010582010581,0.36
758,28,0.17538889923469392,-0.051692857142857145,0.21428571428571427,0.35714285714285715,0.14285714285714288,0.4038427682302576,0.35142379999160767,0.1111111111111111,0.3225806451612903
843,15,0.038732113155555574,0.07718666666666667,0.13333333333333333,0.0,0.13333333333333333,0.9997421918344165,0.42967936396598816,0.21904761904761905,0.16363636363636364
864,25,0.06836347286399999,-0.085244,0.04,0.28,0.24000000000000002,0.35427353288892377,0.3159116208553314,0.11666666666666667,0.13580246913580246
900,49,0.015244005356101625,-0.0050489795918367344,0.02040816326530612,0.02040816326530612,0.0,0.3172217073255527,0.08896403014659882,0.04081632653061224,0.4482758620689655
940,27,0.14128865871056243,-0.024759259259259262,0.2222222222222222,0.2222222222222222,0.0,0.43892648575019433,0.31718966364860535,0.09686609686609686,0.32
